Architecture,Batchsize,Dropout,Epochs,LearningRate,Length,Model,TrainObs,TrainableParams,Variables,mse,mseref
8,20,0.25,300,0.0001,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,43.67800407404154,0.10651505376344085
16,20,0.25,300,0.0001,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,41.192173128684104,0.10651505376344085
32,20,0.25,300,0.0001,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,41.07760347612589,0.10651505376344085
8,20,0.5,300,0.0001,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,44.445529573650205,0.10651505376344085
16,20,0.5,300,0.0001,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,41.40890701889647,0.10651505376344085
32,20,0.5,300,0.0001,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,38.6259658934604,0.10651505376344085
8,20,0.0,300,0.001,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,30.83846549598831,0.10651505376344085
16,20,0.0,300,0.001,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,25.376112866000668,0.10651505376344085
32,20,0.0,300,0.001,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,18.681080538170367,0.10651505376344085
8,20,0.25,300,0.001,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,30.568099686336023,0.10651505376344085
16,20,0.25,300,0.001,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,28.171514109423796,0.10651505376344085
32,20,0.25,300,0.001,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,24.606615836917616,0.10651505376344085
8,20,0.5,300,0.001,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,38.63569361309124,0.10651505376344085
16,20,0.5,300,0.001,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,34.613860504688176,0.10651505376344085
