Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,80,0.0001,20,lstm,0.030309317566539533,0.003055130857031963,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,81,0.0001,20,lstm,0.03056932401765759,0.0030385930996671582,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,82,0.0001,20,lstm,0.02955982072268843,0.003010395468086103,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,83,0.0001,20,lstm,0.029285589835145863,0.003010449297705519,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,84,0.0001,20,lstm,0.029070880138240152,0.002987178743430351,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,85,0.0001,20,lstm,0.02858437215896844,0.002970430149491794,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,86,0.0001,20,lstm,0.028522890750243658,0.002960537300284187,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,87,0.0001,20,lstm,0.028178883235155536,0.002934180278684586,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,88,0.0001,20,lstm,0.028539711661431537,0.0029301531265518645,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,89,0.0001,20,lstm,0.027740032367673653,0.002911531090587818,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,90,0.0001,20,lstm,0.02754824186402363,0.0028908677853814475,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,91,0.0001,20,lstm,0.02780169060063218,0.0028835635871641567,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,92,0.0001,20,lstm,0.027837813609675254,0.0028719999445698595,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
