Model,NewVar,SelectionIteration,TestLoss,TrainLoss,TrainingIteration,Vars
ffnn,EURUSDFX,2,0.18574124606706763,0.11841072999341513,0,StorageNL_EURUSDFX
ffnn,EURGBPFX,2,0.17916182204279849,0.10947056531265217,0,StorageNL_EURGBPFX
ffnn_regression,ConLDZNL,1,inf,inf,0,ConLDZNL
ffnn_regression,ConNLDZNL,1,inf,inf,0,ConNLDZNL
ffnn_regression,ProdNL,1,inf,inf,0,ProdNL
ffnn_regression,ProdUKCS,1,7.753173413973346e+19,1.359488529800453e+16,0,ProdUKCS
ffnn_regression,StorageNL,1,1.5390353643798303e+18,697551083579031.0,0,StorageNL
ffnn_regression,StorageUK,1,2.513586692823481e+18,149468763015009.62,0,StorageUK
ffnn_regression,TradeBBL,1,5.989444231709304e+31,3.568929227913678e+25,0,TradeBBL
ffnn_regression,TradeIUK,1,1.856136849566243e+35,6.61818910676235e+29,0,TradeIUK
ffnn_regression,TTFDA,1,402.72757089266213,76.04019663410801,0,TTFDA
ffnn_regression,NBPFM,1,209812034901.33334,885313903.4145617,0,NBPFM
ffnn_regression,OilFM,1,1.5318847100899453e+18,1356080951848730.0,0,OilFM
ffnn_regression,ElectricityBaseFM,1,6417722.037634409,106657.07901777567,0,ElectricityBaseFM
ffnn_regression,ElectricityPeakFM,1,134659898.58064517,809113.0188455231,0,ElectricityPeakFM
ffnn_regression,EURUSDFX,1,0.2633753684099003,0.2291288530474068,0,EURUSDFX
ffnn_regression,EURGBPFX,1,0.5679882889793765,1.0210862521843245,0,EURGBPFX
ffnn_regression,ConLDZNL,2,inf,inf,0,EURUSDFX_ConLDZNL
ffnn_regression,ConNLDZNL,2,inf,inf,0,EURUSDFX_ConNLDZNL
ffnn_regression,ProdNL,2,inf,inf,0,EURUSDFX_ProdNL
ffnn_regression,ProdUKCS,2,4.918875120449158e+21,8.385192670939912e+17,0,EURUSDFX_ProdUKCS
ffnn_regression,StorageNL,2,4.2670329432392774e+17,216602159084907.8,0,EURUSDFX_StorageNL
ffnn_regression,StorageUK,2,3.665481587699967e+16,1504826838747.9968,0,EURUSDFX_StorageUK
ffnn_regression,TradeBBL,2,3.3464874085369925e+33,1.713360572946867e+27,0,EURUSDFX_TradeBBL
ffnn_regression,TradeIUK,2,1.7740185411213193e+35,4.532038392566609e+29,0,EURUSDFX_TradeIUK
ffnn_regression,TTFDA,2,216.04830506027386,33.97957328955332,0,EURUSDFX_TTFDA
ffnn_regression,NBPFM,2,689875006188.7312,3011017921.833782,0,EURUSDFX_NBPFM
ffnn_regression,OilFM,2,1.6225972572741788e+19,1.6417263200188648e+16,0,EURUSDFX_OilFM
ffnn_regression,ElectricityBaseFM,2,50089597.720430106,864298.0081347394,0,EURUSDFX_ElectricityBaseFM
ffnn_regression,ElectricityPeakFM,2,22212494424.08602,160351284.4598339,0,EURUSDFX_ElectricityPeakFM
ffnn_regression,EURGBPFX,2,0.19897510031218169,0.7696025587057554,0,EURUSDFX_EURGBPFX
