Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,146,0.0001,20,lstm,0.5202932736726218,0.31877768231976417,TTFDA_EURGBPFX
8,20,0.0,300,147,0.0001,20,lstm,0.5200995245287495,0.3185365516492116,TTFDA_EURGBPFX
8,20,0.0,300,148,0.0001,20,lstm,0.5201327977001026,0.3185803461219034,TTFDA_EURGBPFX
8,20,0.0,300,149,0.0001,20,lstm,0.5213138774357816,0.3184125942568625,TTFDA_EURGBPFX
8,20,0.0,300,150,0.0001,20,lstm,0.5220966465691085,0.31821154182155925,TTFDA_EURGBPFX
8,20,0.0,300,151,0.0001,20,lstm,0.5205432037192006,0.3181679635358754,TTFDA_EURGBPFX
8,20,0.0,300,152,0.0001,20,lstm,0.5217362703975811,0.31850338875446266,TTFDA_EURGBPFX
8,20,0.0,300,153,0.0001,20,lstm,0.5209910741416357,0.3179148133964308,TTFDA_EURGBPFX
8,20,0.0,300,154,0.0001,20,lstm,0.5197093617371333,0.31768813785365835,TTFDA_EURGBPFX
8,20,0.0,300,155,0.0001,20,lstm,0.5206550515146666,0.3178202310396779,TTFDA_EURGBPFX
8,20,0.0,300,156,0.0001,20,lstm,0.5200249706545184,0.31760133169991994,TTFDA_EURGBPFX
8,20,0.0,300,157,0.0001,20,lstm,0.5195119345700869,0.31762925779787443,TTFDA_EURGBPFX
8,20,0.0,300,158,0.0001,20,lstm,0.5192175787142528,0.3176165797537373,TTFDA_EURGBPFX
8,20,0.0,300,159,0.0001,20,lstm,0.5215251643651275,0.3175348898255697,TTFDA_EURGBPFX
8,20,0.0,300,160,0.0001,20,lstm,0.5159197585076414,0.31664947456409853,TTFDA_EURGBPFX
8,20,0.0,300,161,0.0001,20,lstm,0.5164773603600841,0.3175938798775596,TTFDA_EURGBPFX
8,20,0.0,300,162,0.0001,20,lstm,0.5154445603169421,0.3172624048686797,TTFDA_EURGBPFX
8,20,0.0,300,163,0.0001,20,lstm,0.5161710214070094,0.3170982455454206,TTFDA_EURGBPFX
8,20,0.0,300,164,0.0001,20,lstm,0.519567273236731,0.31694866392400955,TTFDA_EURGBPFX
8,20,0.0,300,165,0.0001,20,lstm,0.5159716099019973,0.31694667017267597,TTFDA_EURGBPFX
8,20,0.0,300,166,0.0001,20,lstm,0.5178920112309917,0.3169919901717735,TTFDA_EURGBPFX
8,20,0.0,300,167,0.0001,20,lstm,0.5155297018667703,0.31669894585846575,TTFDA_EURGBPFX
8,20,0.0,300,168,0.0001,20,lstm,0.518377537128105,0.31675038967401753,TTFDA_EURGBPFX
8,20,0.0,300,169,0.0001,20,lstm,0.5203436376747265,0.3166176466852106,TTFDA_EURGBPFX
8,20,0.0,300,170,0.0001,20,lstm,0.5180035660504013,0.3165546337202672,TTFDA_EURGBPFX
8,20,0.0,300,171,0.0001,20,lstm,0.517389482868615,0.31638552548904575,TTFDA_EURGBPFX
8,20,0.0,300,172,0.0001,20,lstm,0.515802673594926,0.3164727515190519,TTFDA_EURGBPFX
8,20,0.0,300,173,0.0001,20,lstm,0.5155571085470979,0.3164528470125891,TTFDA_EURGBPFX
8,20,0.0,300,174,0.0001,20,lstm,0.5161166122203232,0.31629175011829663,TTFDA_EURGBPFX
8,20,0.0,300,175,0.0001,20,lstm,0.5161208642586586,0.3162999272907293,TTFDA_EURGBPFX
8,20,0.0,300,176,0.0001,20,lstm,0.5168744844775046,0.31614185821625496,TTFDA_EURGBPFX
8,20,0.0,300,177,0.0001,20,lstm,0.5155960111528315,0.31589731730280385,TTFDA_EURGBPFX
8,20,0.0,300,178,0.0001,20,lstm,0.5150441385565265,0.3158682700526971,TTFDA_EURGBPFX
8,20,0.0,300,179,0.0001,20,lstm,0.5148499062465083,0.31576980450140535,TTFDA_EURGBPFX
8,20,0.0,300,180,0.0001,20,lstm,0.512373657636745,0.3157547381856749,TTFDA_EURGBPFX
8,20,0.0,300,181,0.0001,20,lstm,0.5138669487449431,0.3155823740106757,TTFDA_EURGBPFX
8,20,0.0,300,182,0.0001,20,lstm,0.5128129128647106,0.31574630557048705,TTFDA_EURGBPFX
8,20,0.0,300,183,0.0001,20,lstm,0.5139079581024826,0.31554362001598524,TTFDA_EURGBPFX
8,20,0.0,300,184,0.0001,20,lstm,0.5116224524474913,0.3153446691651498,TTFDA_EURGBPFX
8,20,0.0,300,185,0.0001,20,lstm,0.5102323610936442,0.3151123661908411,TTFDA_EURGBPFX
8,20,0.0,300,186,0.0001,20,lstm,0.5103781530933995,0.3153664337931782,TTFDA_EURGBPFX
8,20,0.0,300,187,0.0001,20,lstm,0.5116299795367385,0.3152512736938974,TTFDA_EURGBPFX
8,20,0.0,300,188,0.0001,20,lstm,0.5125307895002826,0.31514021670145376,TTFDA_EURGBPFX
8,20,0.0,300,189,0.0001,20,lstm,0.5119801879089366,0.3150458835786389,TTFDA_EURGBPFX
8,20,0.0,300,190,0.0001,20,lstm,0.5110964662926172,0.31501403070425477,TTFDA_EURGBPFX
8,20,0.0,300,191,0.0001,20,lstm,0.5092461662747527,0.31466271568049664,TTFDA_EURGBPFX
8,20,0.0,300,192,0.0001,20,lstm,0.5066102469960848,0.31474718062948154,TTFDA_EURGBPFX
8,20,0.0,300,193,0.0001,20,lstm,0.5095967382032384,0.3149306886298682,TTFDA_EURGBPFX
8,20,0.0,300,194,0.0001,20,lstm,0.5078747234837984,0.3146401813594244,TTFDA_EURGBPFX
8,20,0.0,300,195,0.0001,20,lstm,0.5086294680192907,0.31443772757405875,TTFDA_EURGBPFX
8,20,0.0,300,196,0.0001,20,lstm,0.5108697903893327,0.31456916418767744,TTFDA_EURGBPFX
8,20,0.0,300,197,0.0001,20,lstm,0.5097253128725995,0.3143329282681788,TTFDA_EURGBPFX
8,20,0.0,300,198,0.0001,20,lstm,0.5093886529405912,0.314241437101236,TTFDA_EURGBPFX
8,20,0.0,300,199,0.0001,20,lstm,0.507515635301349,0.3142351272205512,TTFDA_EURGBPFX
8,20,0.0,300,200,0.0001,20,lstm,0.5088158082417262,0.31404853295735136,TTFDA_EURGBPFX
8,20,0.0,300,201,0.0001,20,lstm,0.5062301989684823,0.3134352834795111,TTFDA_EURGBPFX
8,20,0.0,300,202,0.0001,20,lstm,0.5078181228650513,0.31383488543571963,TTFDA_EURGBPFX
8,20,0.0,300,203,0.0001,20,lstm,0.5076447089192688,0.3137103003519838,TTFDA_EURGBPFX
8,20,0.0,300,204,0.0001,20,lstm,0.5085238603654728,0.31346773456341476,TTFDA_EURGBPFX
8,20,0.0,300,205,0.0001,20,lstm,0.5070612495464664,0.31353241557716044,TTFDA_EURGBPFX
8,20,0.0,300,206,0.0001,20,lstm,0.5072679882568698,0.3134955998950748,TTFDA_EURGBPFX
8,20,0.0,300,207,0.0001,20,lstm,0.5049218979253564,0.31338391184646597,TTFDA_EURGBPFX
8,20,0.0,300,208,0.0001,20,lstm,0.5050123913153526,0.31339870341202264,TTFDA_EURGBPFX
8,20,0.0,300,209,0.0001,20,lstm,0.5053333485478996,0.313066964788783,TTFDA_EURGBPFX
8,20,0.0,300,210,0.0001,20,lstm,0.5037992883433577,0.3130118672245292,TTFDA_EURGBPFX
8,20,0.0,300,211,0.0001,20,lstm,0.5040959482712131,0.31280811491512484,TTFDA_EURGBPFX
8,20,0.0,300,212,0.0001,20,lstm,0.5048696263342776,0.3128300001544337,TTFDA_EURGBPFX
8,20,0.0,300,213,0.0001,20,lstm,0.5056795457838684,0.312545227227352,TTFDA_EURGBPFX
8,20,0.0,300,214,0.0001,20,lstm,0.5043485204699218,0.31287939045377955,TTFDA_EURGBPFX
8,20,0.0,300,215,0.0001,20,lstm,0.5053510609813916,0.31250448228530986,TTFDA_EURGBPFX
8,20,0.0,300,216,0.0001,20,lstm,0.5055970080917881,0.31248566396133876,TTFDA_EURGBPFX
8,20,0.0,300,217,0.0001,20,lstm,0.5046267056016511,0.3123536937499559,TTFDA_EURGBPFX
8,20,0.0,300,218,0.0001,20,lstm,0.5031105440951162,0.31202486590031653,TTFDA_EURGBPFX
8,20,0.0,300,219,0.0001,20,lstm,0.5046541437666904,0.31189421376073234,TTFDA_EURGBPFX
8,20,0.0,300,220,0.0001,20,lstm,0.5026005722021544,0.31205652029283587,TTFDA_EURGBPFX
8,20,0.0,300,221,0.0001,20,lstm,0.5024826033141023,0.31190135045557893,TTFDA_EURGBPFX
